Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalYearsInSameJob,IncomePerHour,AgeWhenJoined,YearsUntilPromotion,EmployeeEngagement,YearOfJoining,Rango_Edad,Clasificacion,Semaforo,Overtime_Marital,Overtime_squared,JobRole_BusinessTravel
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,0,11,3,3,80,0,13,4,3,12,6,2,11,7,37.48125,22,2,2.4,2012,26-35,Desempeño Bajo,Naranja,No_Single,0,Research Director_Travel_Rarely
26,No,Travel_Rarely,572,Sales,10,3,Medical,1,1836,3,Male,46,3,2,Sales Executive,4,Single,4684,9125,1,Y,0,13,3,1,80,0,5,4,3,5,3,1,2,3,14.6375,21,1,2.8,2019,26-35,Desempeño Medio,Verde,No_Single,0,Sales Executive_Travel_Rarely
47,Yes,Travel_Frequently,1093,Sales,9,3,Life Sciences,1,1716,3,Male,82,1,4,Sales Executive,3,Married,12936,24164,7,Y,0,11,3,3,80,0,25,3,1,23,5,14,10,7,40.425,24,14,2.2,2001,46-55,Desempeño Medio,Rojo,No_Married,0,Sales Executive_Travel_Frequently
33,No,Travel_Rarely,1075,Human Resources,3,2,Human Resources,1,910,4,Male,57,3,1,Human Resources,2,Divorced,2277,22650,3,Y,1,11,3,3,80,1,7,4,4,4,3,0,3,6,7.115625,29,0,3.2,2020,26-35,Desempeño Bajo,Naranja,Yes_Divorced,1,Human Resources_Travel_Rarely
25,No,Travel_Rarely,882,Research & Development,19,1,Medical,1,1358,4,Male,67,3,1,Laboratory Technician,4,Married,3669,9075,3,Y,0,11,3,3,80,3,7,6,2,3,2,1,2,6,11.465625,22,1,3.2,2021,26-35,Desempeño Medio,Verde,No_Married,0,Laboratory Technician_Travel_Rarely
33,No,Travel_Rarely,589,Research & Development,28,4,Life Sciences,1,1549,2,Male,79,3,2,Laboratory Technician,3,Married,5207,22949,1,Y,1,12,3,2,80,1,15,3,3,15,14,5,7,14,16.271875,18,5,2.6,2009,26-35,Desempeño Medio,Verde,Yes_Married,1,Laboratory Technician_Travel_Rarely
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,1,221,3,Male,42,3,1,Research Scientist,4,Married,2713,6672,1,Y,0,11,3,3,80,1,5,2,1,5,2,0,2,2,8.478125,23,0,2.8,2019,26-35,Desempeño Medio,Verde,No_Married,0,Research Scientist_Travel_Rarely
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,1,340,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,Y,0,14,3,1,80,1,17,2,2,3,1,0,2,15,12.25,34,0,1.8,2021,36-45,Desempeño Bajo,Naranja,No_Married,0,Research Scientist_Travel_Rarely
29,No,Travel_Frequently,490,Research & Development,10,3,Life Sciences,1,1143,4,Female,61,3,1,Research Scientist,2,Divorced,3291,17940,0,Y,0,14,3,4,80,2,8,2,2,7,5,1,1,6,10.284375,22,1,3.0,2017,26-35,Desempeño Bajo,Naranja,No_Divorced,0,Research Scientist_Travel_Frequently
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,1282,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,1,24,4,1,80,1,31,5,2,29,10,11,10,12,62.021875,22,11,2.4,1995,46-55,Desempeño Bajo,Naranja,Yes_Divorced,1,Manager_Travel_Frequently
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,353,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,Y,0,11,3,2,80,0,1,0,2,1,0,0,0,0,8.509375,50,0,2.8,2023,46-55,Desempeño Medio,Verde,No_Married,0,Research Scientist_Travel_Rarely
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,1,361,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,Y,0,18,3,4,80,1,13,0,3,8,7,7,5,12,16.403125,30,7,3.4,2016,36-45,Desempeño Medio,Verde,No_Married,0,Sales Executive_Non-Travel
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,0,11,3,4,80,0,33,5,1,29,8,11,10,12,61.14375,31,11,2.0,1995,56-65,Desempeño Bajo,Naranja,No_Married,0,Manager_Travel_Rarely
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,364,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,Y,0,11,3,3,80,0,5,5,1,0,0,0,0,5,10.890625,28,0,2.2,2024,26-35,Desempeño Medio,Rojo,No_Single,0,Laboratory Technician_Travel_Rarely
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,0,11,3,3,80,0,14,2,2,14,8,9,8,8,32.5,18,9,2.8,2010,26-35,Desempeño Medio,Rojo,No_Married,0,Sales Executive_Travel_Rarely
30,Yes,Travel_Frequently,109,Research & Development,5,3,Medical,1,1017,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,Y,0,17,3,1,80,0,4,3,3,3,2,1,2,3,7.56875,27,1,2.2,2021,26-35,Desempeño Bajo,Rojo,No_Single,0,Laboratory Technician_Travel_Frequently
38,No,Travel_Rarely,268,Research & Development,2,5,Medical,1,773,4,Male,92,3,1,Research Scientist,3,Married,3057,20471,6,Y,1,13,3,2,80,1,6,0,1,1,0,0,1,5,9.553125,37,0,2.6,2023,36-45,Desempeño Medio,Verde,Yes_Married,1,Research Scientist_Travel_Rarely
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,0,11,3,3,80,1,18,2,2,7,7,0,7,18,15.425,44,0,3.0,2017,46-55,Desempeño Medio,Verde,No_Married,0,Sales Executive_Travel_Rarely
30,No,Travel_Rarely,1288,Sales,29,4,Technical Degree,1,1568,3,Male,33,3,3,Sales Executive,2,Married,9250,17799,3,Y,0,12,3,2,80,1,9,3,3,4,2,1,3,7,28.90625,26,1,2.6,2020,26-35,Desempeño Bajo,Naranja,No_Married,0,Sales Executive_Travel_Rarely
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,271,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,Y,0,14,3,2,80,0,14,3,3,1,0,0,0,13,20.478125,37,0,3.0,2023,36-45,Desempeño Medio,Verde,No_Married,0,Manufacturing Director_Travel_Rarely
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,316,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,Y,0,15,3,2,80,0,6,3,2,2,2,2,2,6,10.0375,50,2,2.6,2022,46-55,Desempeño Medio,Verde,No_Single,0,Laboratory Technician_Travel_Rarely
40,No,Travel_Rarely,369,Research & Development,8,2,Life Sciences,1,1724,2,Female,92,3,2,Manufacturing Director,1,Married,6516,5041,2,Y,1,16,3,2,80,1,18,3,3,1,0,0,0,17,20.3625,39,0,2.2,2023,36-45,Desempeño Bajo,Naranja,Yes_Married,1,Manufacturing Director_Travel_Rarely
40,No,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1628,1,Female,80,2,3,Manufacturing Director,3,Married,10435,25800,1,Y,0,13,3,4,80,2,18,2,3,18,15,14,12,15,32.609375,22,14,2.6,2006,36-45,Desempeño Medio,Verde,No_Married,0,Manufacturing Director_Travel_Rarely
58,No,Non-Travel,350,Sales,2,3,Medical,1,1824,2,Male,52,3,4,Manager,2,Divorced,16291,22577,4,Y,0,22,4,4,80,1,37,0,2,16,9,14,14,30,50.909375,42,14,2.6,2008,56-65,Desempeño Bajo,Naranja,No_Divorced,0,Manager_Non-Travel
38,No,Travel_Frequently,1444,Human Resources,1,4,Other,1,1972,4,Male,88,3,1,Human Resources,2,Married,2991,5224,0,Y,1,11,3,2,80,1,7,2,3,6,2,1,2,3,9.346875,32,1,2.8,2018,36-45,Desempeño Bajo,Naranja,Yes_Married,1,Human Resources_Travel_Frequently
